cargo,desde,fuente_inicio,tweet_inicio,causa_fin,hasta,sucesora,tweet_fin,fuente_fin,persona_genero,persona_nombre,persona_twitter,entidad_dependencia,entidad_eleccion_mae,entidad_nombre,entidad_tipo,entidad_sigla,entidad_twitter,entidad_webpage,entidad_desde,entidad_fuente_inicio,entidad_hasta,entidad_sucesoras
Comandante General de la Armada,2020-11-17,https://www.paginasiete.bo/nacional/2020/11/16/arce-posesiona-al-alto-mando-militar-de-las-ffaa-275065.html,https://twitter.com/BoliviaMaes/status/1328379383762055168,Destitución,2020-12-29,['rectGUYoEjTV9iSat'],,,Hombre,Javier Torrico Vega,,Fuerzas Armadas,designación,Armada,Otro,,@ArmadaBoliviana,,,,,
Jefe de Estado Mayor General Accidental del Comando en Jefe de las Fuerzas Armadas,2020-11-17,https://www.paginasiete.bo/nacional/2020/11/16/arce-posesiona-al-alto-mando-militar-de-las-ffaa-275065.html,https://twitter.com/BoliviaMaes/status/1328378396544561152,Destitución,2020-12-29,['recKJSf4XRbNjuhu2'],,,Hombre,Miguel Ángel Contreras Campero,,Fuerzas Armadas,designación,Estado Mayor de las Fuerzas Armadas,Otro,,,,,,,
Director General Ejecutivo de AGETIC,2020-11-17,https://twitter.com/AgeticOficial/status/1328795211288424449,https://twitter.com/BoliviaMaes/status/1328798468333318145,,,,,,Hombre,Vladimir Terán Gutiérrez,,Ministerio de la Presidencia,designación,Agencia de Gobierno Electrónico y Tecnologías de la Información y Comunicación,Otro,AGETIC,@AgeticOficial,,,,,
Viceministro de Trabajo y Previsión Social,2020-11-17,https://correodelsur.com/politica/20201117_victor-quispe-es-el-nuevo-viceministro-de-trabajo-y-prevision-social.html,https://twitter.com/BoliviaMaes/status/1328782274796675074,,,,,,Hombre,Víctor Quispe Ticona,,"Ministerio de Trabajo, Empleo y Previsión Social",designación,Viceministerio de Trabajo y Previsión Social,Viceministerio,,,,,,,
Viceministro de Desarrollo Rural y Agropecuario,2020-11-17,https://www.atb.com.bo/pol%C3%ADtica/%C3%A1lvaro-mollinedo-fue-posesionado-como-nuevo-viceministro-de-desarrollo-rural-y-agropecuario,https://twitter.com/BoliviaMaes/status/1328687269214101504,,,,,,Hombre,Álvaro Mollinedo Catari,,Ministerio de Desarrollo Rural y Tierras,designación,Viceministerio de Desarrollo Rural y Agropecuario,Viceministerio,,@VAgropecuario,,,,,
Comandante General Accidental del Ejercito,2020-11-17,https://www.paginasiete.bo/nacional/2020/11/16/arce-posesiona-al-alto-mando-militar-de-las-ffaa-275065.html,https://twitter.com/BoliviaMaes/status/1328378779840942081,Destitución,2020-12-29,['rec9LiMgX5f8nF38a'],,,Hombre,Faud Genaro Ramos Espinoza,,Fuerzas Armadas,designación,Ejercito,Otro,,@BoliviaEjercito,,,,,
Viceministro de Defensa y Cooperación al Desarrollo Integral,2020-11-17,https://www.erbol.com.bo/nacional/puente-asume-como-viceministro-de-defensa-y-rodr%C3%ADguez-vuelve-lucha-contra-el-contrabando,https://twitter.com/BoliviaMaes/status/1328732088783302658,,,,,,Hombre,José Manuel Puente Guarachi,,Ministerio de Defensa,designación,Viceministerio de Defensa y Cooperación al Desarrollo Integral,Viceministerio,,,,,,,
Director Ejecutivo de la Agencia para el Desarrollo de la Sociedad de la Información en Bolivia -  ADSIB,2020-11-17,,https://twitter.com/BoliviaMaes/status/1328728947476017154,,,,,,Hombre,Bladimir Magne Molina,,Vicepresidencia del Estado,designación,Agencia para el Desarrollo de la Sociedad de la Información en Bolivia,Otro,ADSIB,@AdsibBolivia,,,,,
Viceministro  de Lucha Contra el Contrabando,2020-11-17,https://www.erbol.com.bo/nacional/puente-asume-como-viceministro-de-defensa-y-rodr%C3%ADguez-vuelve-lucha-contra-el-contrabando,https://twitter.com/BoliviaMaes/status/1328731538125623297,Deceso,2021-02-26,['rec8MrlWqi9i6JV83'],https://twitter.com/BoliviaMaes/status/1366135920643162118,https://www.la-razon.com/nacional/2021/02/27/muere-por-covid-19-el-viceministro-de-lucha-contra-el-contrabando-gonzalo-rodriguez/,Hombre,Gonzalo Renán Rodríguez,,Ministerio de Gobierno,designación,Viceministerio  de Lucha Contra el Contrabando,Viceministerio,,,,,,,
Comandante General interino de la Policía Boliviana,2020-11-17,https://eldeber.com.bo/pais/arce-pide-institucionalizar-la-policia-que-no-vaya-contra-un-gobierno-democratico-y-que-recupere-la-_208944,https://twitter.com/BoliviaMaes/status/1328623491487293440,Destitución,2022-07-01,['reccGfMCYyFhvYg9l'],https://twitter.com/BoliviaMaes/status/1543192749482119173,https://erbol.com.bo/seguridad/arce-posesiona-al-general-orlando-ponce-como-el-nuevo-comandante-de-la-polic%C3%ADa-en,Hombre,Máximo Jhonny Aguilera Montecinos,,Presidencia del Estado,designación,Policía Boliviana,Otro,,@Pol_Boliviana,,,,,
Comandante General de la Fuerza Aérea,2020-11-17,https://www.paginasiete.bo/nacional/2020/11/16/arce-posesiona-al-alto-mando-militar-de-las-ffaa-275065.html,https://twitter.com/BoliviaMaes/status/1328379118531059712,Destitución,2020-12-29,['recFoxJLEFqkA27Hl'],,,Hombre,César Moisés Vallejos Rocha,,Fuerzas Armadas,designación,Fuerza Aérea,Otro,,,,,,,
Embajador Extraordinario y Plenipotenciario de Bolivia ante la ONU,2020-11-19,https://elpais.bo/nacional/20201119_pary-es-designado-como-embajador-ante-la-onu.html,https://twitter.com/BoliviaMaes/status/1329537630204256264,,,,,,Hombre,Diego Pary Rodríguez,@DiegoPary,Ministerio de Relaciones Exteriores,elección asamblea plurinacional,Misión de Bolivia ante la ONU,Otro,,@BoliviaUNNY,,,,,
Director Ejecutivo de la Agencia Nacional de Hidrocarburos (ANH),2020-11-20,https://www.la-razon.com/economia/2020/11/19/wilson-zelaya-asume-presidencia-de-ypfb-y-compromete-devolver-su-caracter-estrategico/,https://twitter.com/BoliviaMaes/status/1329704235005599748,,,,,,Hombre,Germán Daniel Jiménez Terán,@GermanJimenezT,Ministerio de Hidrocarburos y Energías,designación,Agencia Nacional de Hidrocarburos,Otro,ANH,@AnhBolivia,,,,,
Directora Ejecutiva de la AJ (Autoridad de Fiscalización y Control Social del Juego),2020-11-20,https://eldeber.com.bo/economia/ministro-de-economia-posesiona-a-nuevos-directores-de-la-aj-y-del-senape_209338,https://twitter.com/BoliviaMaes/status/1329705521260220417,,,,,,Mujer,Jessica Paola Saravia,,Ministerio de Economía y Finanzas Públicas,designación,Autoridad de Fiscalización y Control Social del Juego,Autoridad de fiscalización,AJ,@ajcomunica,,,,,
Presidente de Yacimientos Petrolíferos Fiscales Bolivianos (YPFB),2020-11-20,https://www.la-razon.com/economia/2020/11/19/wilson-zelaya-asume-presidencia-de-ypfb-y-compromete-devolver-su-caracter-estrategico/,https://twitter.com/BoliviaMaes/status/1329702895441354752,Renuncia,2021-12-23,['recXwvrJBAm6zEh1v'],https://twitter.com/BoliviaMaes/status/1474041189569548293,https://www.la-razon.com/economia/2021/12/23/armin-dorgathen-es-posesionado-como-nuevo-presidente-de-ypfb/,Hombre,Wilson Felipe Zelaya Prudencio,,Ministerio de Hidrocarburos y Energías,designación,Yacimientos Petrolíferos Fiscales Bolivianos,Otro,YPFB,@YPFB_corp,,,,,
Viceministro de Régimen Interior y Policía,2020-11-20,https://twitter.com/LaRazon_Bolivia/status/1329561679429062657,https://twitter.com/BoliviaMaes/status/1329581820015472641,Destitución,2021-06-28,['rechyuXOHMQy0YBAI'],https://twitter.com/BoliviaMaes/status/1409776789812088832,https://eldeber.com.bo/pais/rodas-revela-que-pidieron-su-renuncia-como-viceministro-y-que-del-castillo-se-maneja-individualmente_237257,Hombre,Emilio Rodas,@RodasEmilio,Ministerio de Gobierno,designación,Viceministerio de Régimen Interior y Policía,Viceministerio,,,,,,,
Viceministro de Seguridad Ciudadana,2020-11-20,https://twitter.com/Canal_BoliviaTV/status/1329567594328842241,https://twitter.com/BoliviaMaes/status/1329582969800040448,Destitución,2021-04-07,['rec900hVRjQt9byy8'],https://twitter.com/BoliviaMaes/status/1379810846919032836,https://www.lostiempos.com/actualidad/pais/20210407/posesionan-nuevo-viceministro-seguridad-ciudadana-polemica-spot-machista,Hombre,Gonzalo Lazcano,,Ministerio de Gobierno,designación,Viceministerio de Seguridad Ciudadana,Viceministerio,,@vmsc_bolivia,,,,,
Director General Ejecutivo del Senape (Servicio Nacional de Patrimonio del Estado),2020-11-20,https://eldeber.com.bo/economia/ministro-de-economia-posesiona-a-nuevos-directores-de-la-aj-y-del-senape_209338,https://twitter.com/BoliviaMaes/status/1329706323890622469,,,,,,Hombre,Roy Ramiro Flores,,Ministerio de Economía y Finanzas Públicas,designación,Servicio Nacional de Patrimonio del Estado,Otro,Senape,@SenapeBolivia,,,,,
Director Ejecutivo de la UPRE (Unidad de Proyectos Especiales),2020-11-20,https://twitter.com/REV0LUCI0N_2006/status/1329844860111687683,https://twitter.com/BoliviaMaes/status/1329859533506752512,,,,,,Hombre,Gonzalo Rodríguez,,Ministerio de la Presidencia,designación,Unidad de Proyectos Especiales,Otro,UPRE,,,,,,
"Ministra de Culturas, Descolonización y Despatriarcalización",2020-11-20,https://www.facebook.com/LuchoXBolivia/videos/393791228497070,https://twitter.com/BoliviaMaes/status/1329877215971074056,,,,,,Mujer,Sabina Orellana Cruz,@sabinaore70,Presidencia del Estado,designación,"Ministerio de Culturas, Descolonización y Despatriarcalización",Ministerio,MCDD,,,2020-11-20,,,
Director del SERNAP (Servicio Nacional de Áreas Protegidas),2020-11-21,https://www.mmaya.gob.bo/2020/11/magin-herrera-asume-como-viceministro-de-medio-ambiente-y-biodiversidad/,https://twitter.com/BoliviaMaes/status/1330024810269827072,,,,,,Hombre,Teodoro Mamani Ibarra,,Ministerio de Medio Ambiente y Agua,designación,Servicio Nacional de Áreas Protegidas,Otro,SERNAP,@BoliviaSernap,,,,,
Viceministro de la Coca y Desarrollo Integral,2020-11-21,https://eldeber.com.bo/economia/posesionan-a-viceministro-de-coca-y-al-director-de-la-hoja-de-coca_209471,https://twitter.com/BoliviaMaes/status/1330108072006721538,Desconocida,2021-09-17,['recfu3CFylFkraJby'],https://twitter.com/BoliviaMaes/status/1441869229549047809,,Hombre,Rolando Canceno Mamani,,Ministerio de Desarrollo Rural y Tierras,designación,Viceministerio de la Coca y Desarrollo Integral,Viceministerio,VCDI,@cocavcdi,,,,,
Viceministro de Descolonización y Despatriarcalización,2020-11-21,https://www.la-razon.com/nacional/2020/11/20/sabina-orellana-fue-posesionada-como-ministra-de-culturas-llama-a-acabar-con-el-racismo/,https://twitter.com/BoliviaMaes/status/1330021347007877122,,,,,,Hombre,Pelagio Condori Yana,,"Ministerio de Culturas, Descolonización y Despatriarcalización",designación,Viceministerio de Descolonización y Despatriarcalización,Viceministerio,,@VCMdesco,,2020-11-20,,,
Viceministro de Desarrollo Productivo Minero,2020-11-21,https://eldeber.com.bo/economia/ministro-de-mineria-posesiono-a-tres-de-sus-viceministros_209470,https://twitter.com/BoliviaMaes/status/1330119773137620995,Supresión de la entidad,2022-06-29,['rec1n1phPWH9LEM4k'],,,Hombre,Juan José Carvajal Huanca,,Ministerio de Minería y Metalurgia,designación,Viceministerio de Desarrollo Productivo Minero,Viceministerio,,,,,,2022-06-29,Viceministerio de Minerales Tecnológicos y Desarrollo Productivo Minero
